substrate_id,reagent,tfa_equivalents,yield
Griseofulvin,palauchlor,0,7.314285714
Griseofulvin,palauchlor,1,17.37142857
Griseofulvin,palauchlor,2,17.37142857
Griseofulvin,palauchlor,4,18.28571429
Griseofulvin,palauchlor,6,15.54285714
Griseofulvin,palauchlor,10,62.17142857
Griseofulvin,palauchlor,15,61.25714286
Griseofulvin,palauchlor,25,64
Griseofulvin,nis,0,8
Griseofulvin,nis,1,30
Griseofulvin,nis,2,43
Griseofulvin,nis,4,50
Griseofulvin,nis,6,49
Griseofulvin,nis,10,45
Griseofulvin,nis,15,52
Griseofulvin,nis,25,47
Hydroquinine,nbs,0,93.3047619
Hydroquinine,nbs,1,97
Hydroquinine,nbs,5,88.68571429
Hydroquinine,nbs,10,89.60952381
Hydroquinine,nbs,15,89.60952381
Hydroquinine,nbs,25,86.83809524
Hydroquinine,palauchlor,0,43.05882353
Hydroquinine,palauchlor,1,60
Hydroquinine,palauchlor,2,75.52941176
Hydroquinine,palauchlor,4,70.58823529
Hydroquinine,palauchlor,6,74.82352941
Hydroquinine,palauchlor,10,67.05882353
Hydroquinine,palauchlor,15,66.35294118
Hydroquinine,palauchlor,25,84
Hydroquinine,nis,0,3.142857143
Hydroquinine,nis,1,1.571428571
Hydroquinine,nis,2,2.357142857
Hydroquinine,nis,4,3.928571429
Hydroquinine,nis,6,8.642857143
Hydroquinine,nis,10,7.071428571
Hydroquinine,nis,15,8.642857143
Hydroquinine,nis,25,11
Hydroxychloroquine,nbs,0,94.59459459
Hydroxychloroquine,nbs,1,87.38738739
Hydroxychloroquine,nbs,5,100
Hydroxychloroquine,palauchlor,0,43.96363636
Hydroxychloroquine,palauchlor,1,49.88181818
Hydroxychloroquine,palauchlor,2,43.96363636
Hydroxychloroquine,palauchlor,4,76.93636364
Hydroxychloroquine,palauchlor,6,81.16363636
Hydroxychloroquine,palauchlor,10,78.62727273
Hydroxychloroquine,palauchlor,15,83.7
Hydroxychloroquine,palauchlor,25,93
Hydroxychloroquine,nis,0,4.473684211
Hydroxychloroquine,nis,1,5.368421053
Hydroxychloroquine,nis,2,5.368421053
Hydroxychloroquine,nis,4,37.57894737
Hydroxychloroquine,nis,6,49.21052632
Hydroxychloroquine,nis,10,60.84210526
Hydroxychloroquine,nis,15,74.26315789
Hydroxychloroquine,nis,25,85
Ibuprofen,nbs,0,0
Ibuprofen,nbs,1,0
Ibuprofen,nbs,2,0.5
Ibuprofen,nbs,4,1
Ibuprofen,nbs,6,1
Ibuprofen,nbs,10,0.5
Ibuprofen,nbs,15,1
Ibuprofen,nbs,25,1
Ibuprofen,palauchlor,0,4.27184466
Ibuprofen,palauchlor,1,24.77669903
Ibuprofen,palauchlor,2,24.77669903
Ibuprofen,palauchlor,4,23.9223301
Ibuprofen,palauchlor,6,25.63106796
Ibuprofen,palauchlor,10,88
Ibuprofen,palauchlor,15,88
Ibuprofen,palauchlor,25,82.87378641
Ibuprofen,nis,0,17.29
Ibuprofen,nis,1,25.48
Ibuprofen,nis,2,35.49
Ibuprofen,nis,4,60.06
Ibuprofen,nis,6,70.07
Ibuprofen,nis,10,88.27
Ibuprofen,nis,15,91
Ibuprofen,nis,25,86.45
Indomethacin,nbs,0,91.67741935
Indomethacin,nbs,1,88.51612903
Indomethacin,nbs,2,93.25806452
Indomethacin,nbs,4,97.20967742
Indomethacin,nbs,6,92.46774194
Indomethacin,nbs,10,94.83870968
Indomethacin,nbs,15,98
Indomethacin,nbs,25,87.72580645
