code_name,HOMO-LUMO gap,HOMO,LUMO,IP,EA,Dipole module,Total charge,Global SASA,G solv. in H2O,G of H-bonds H2O,Fermi-level,Total polariz. alpha,Total FOD,Hardness,Softness,Electronegativity,Electrophil. idx,Nucleophilicity idx,Second IP,Second EA,S0-T1 gap,Total energy,Total disp. C6,Total disp. C8,Dispersion area,Dispersion volume,Chem. potential,Electrodon. power idx,Electroaccep. power idx,max. electron flow,Electrodon. Chem. potential,Electrodon. max. electron flow,Electrofugality,Nucleofugality,Intrinsic React. idx,Net Electrophilicity,Hyperhardness,Hypersoftness,Electrophilic descrip.,cub. electrophilicity idx,G solv. elec.,G solv. SASA,G solv. shift,Trans. dipole moment,HOMO occup.,LUMO occup.,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
Hydroxychloroquine_rdkit,2.6277,-9.5174,-6.8897,6.8556,-0.3798,9.1933,0,556.4029,-10.2772,-1.5781,-8.2035,243.4664,0.263,7.2354,0.13820000000000002,3.2379,0.7245,1.4203999999999999,10.5616,4.4309,68.1323,-69.2196,25088.9206,598030.7111,416.3032,432.6657,-3.2379,0.5646,7.0404,0.4475,-5.0468,0.6975,1.1043,7.5801,0.895,-6.4758,4.2583,0.0112,1.3745,0.9247000000000001,-7.1447,-2.2326,0.6782,4.5198,2,0,8.853348039318607,8.853348039318607,0.743665777653145,-4.941869396678428,0.731780104377116,35.391304347826086,335.87899999999956,309.67100000000005,335.17644013200066,126,0,0.21010335108778802,-0.395044572316183,0.395044572316183,0.21010335108778802,1.608695652173913,2.565217391304347,3.391304347826087,2.923925744973372,3.192674271781661,1604.8379189965347,39.265066523458984,37.12785354997296,11.883782495991419,21.406642508747513,18.56381585195022,6.086318438995625,3.593095292245422,3.97105976525465,2.182472052335955,2.371454288840568,1.324940904359309,1.461689735348041,-1.359999999999999,2718971438.915423,3.896633050554017,9.062254640025788,5.341836349421254,179.69835038936588,15.318531275246066,0.0,1.4118420783282,1.431199657232634,0.0,0.0,4.983978520947208,0.0,0.0,0.0,18.452832007528194,56.7611361192395,56.71602806509361,23.041754409894306,39.418855617520705,28.191251096997135,1.431199657232634,9.883888251797686,0.0,32.467526505599764,31.359377649152496,35.36520335520927,0,0.0,5.3098133532883764,5.687386274683562,0.0,11.600939890232516,48.4913528643513,0.0,0.0,59.347839385335455,30.34257004146794,6.434475392069527,10.902924932081056,0,48.39,120.68232844757665,0.0,0.0,0.0,0.0,0.0,0,0,0,10.092786712054421,47.342186973878654,210.86873642044026,5.87361259133655,2.247976643048602,1.037260711167133,-2.261215418632117,0.0,-8.9798554065858,-11.018272435358227,-26.907131994305285,0.0,0.5,23,2,4,0,0,0,1,1,2,4,2,5,12,0,0,0,2,3.783000000000002,98.27150000000006,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mizolastine_rdkit,3.114,-10.0646,-6.9506,7.0206,0.2748,6.8012,0,669.5903,-20.0979,-3.1853,-8.5076,305.4115,0.2753,6.7458,0.14830000000000002,3.6477,0.9865,1.1855,10.377,6.6926,81.7381,-90.5829,38627.5885,915479.8314,492.8529,507.6213,-3.6477,1.1415,8.4368,0.5408000000000001,-5.3341,0.7908000000000001,0.7117,8.0071,1.0816,-7.2953,4.8871,0.0159,1.3293,1.178,-16.4074,-1.1834,0.6782,4.2796,2,0,14.643724628218767,14.643724628218767,0.133888131794652,-4.5906805901947045,0.5234372068442691,34.15625,432.50299999999976,407.3030000000002,432.2073876400007,164,0,0.251712951615966,-0.34228689597432704,0.34228689597432704,0.251712951615966,1.3125,2.09375,2.875,3.4812780149137352,2.000995336768483,2385.333269626659,44.03856921535524,40.469494336472835,15.469494336472838,25.537264135556143,20.94442194348619,8.49720834798623,5.803809576162867,5.803809576162867,3.818216684143894,3.818216684143894,2.471118502683088,2.471118502683088,-3.679999999999999,364946488477.76495,6.43342549193105,8.452068204894788,3.9547673088237882,219.88313954086675,14.366919109492311,5.817220841045895,1.4118420783282,11.896678561972989,5.559266895052008,0.0,9.771540454301075,14.358372089569237,0.0,0.0,24.16967483065318,42.478976125008934,53.28109677361429,35.350122349761335,38.70046247408831,22.93007999720551,0.0,19.512059959915025,0.0,25.260601955324347,29.76936573061509,82.28913999165115,0,0.0,15.359086356752965,16.28709360964781,0.0,0.0,45.4994986971788,6.496859684315945,5.817220841045895,51.207506642441075,65.34920076385623,1.4118420783282,11.033401435232523,0,70.05000000000001,160.43165376095357,10.555710787916862,0.0,4.5670996477913555,0.0,0.0,0,0,0,9.967957041894417,32.93928887024326,227.8905835653299,0.0,17.778560774924117,0.0,-5.443013905611343,-5.243535735371107,-16.376865303358816,-10.534926496959349,-16.987469565620138,0.0,0.291666666666666,32,1,7,0,1,1,2,2,4,6,1,8,6,0,1,1,5,3.4122000000000012,123.73070000000001,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ritonavir_rdkit,2.8937,-10.2374,-7.3437,6.933,0.5554,6.8051,0,931.259,-22.0313,-3.7296,-8.7906,512.6117,0.3356,6.3776,0.1569,3.7441,1.1013,1.1192,9.6351,7.3415,82.8641,-148.2053,109810.198,2701456.815,786.0791,875.582,-3.7441,1.4584000000000001,8.9468,0.5879,-5.3386,0.8379000000000001,0.546,8.0344,1.1756,-7.4883,4.7440999999999995,0.0184,1.4568,1.2945,-17.77,-1.21,0.6782,2.846,2,0,15.940063628975361,15.940063628975361,0.136973756827377,-6.187474980888869,0.106240465859103,33.2,720.962000000002,672.5780000000002,720.3127606360014,268,0,0.40731410843709703,-0.443765203623454,0.443765203623454,0.40731410843709703,1.04,1.78,2.42,0.806462415491614,2.438886005312674,3701.0531653249113,77.67639741685993,72.04101960624679,25.67401276810224,43.233529771693675,36.19801890003277,14.081122984924493,8.056093760031436,9.645987003093135,4.659499752410454,6.004990151560716,2.726969707058549,3.607793289587747,-4.33,1.2306723995441501e+26,9.751680849499463,19.165556143146798,12.21811936765673,369.75779807970076,30.675020935622864,12.576877711265933,4.235526234984602,7.3383793865841405,0.0,12.124354583276487,9.77851570501903,14.573052889090853,0.0,22.673571755869474,87.83175554581567,36.13963537274521,61.94413346639246,68.44598965741183,88.77818540359699,40.70510606849747,1.431199657232634,30.79730683261002,5.893957685363079,89.6098412177651,6.975826900282246,104.1453894787309,0,0.0,15.929440059865126,9.589074368143644,0.0,22.673571755869474,70.5489312659939,35.33309486776286,5.893957685363079,126.69342939616119,77.43978760993437,4.235526234984602,0.0,0,145.78000000000003,256.82268526341977,19.913964824102223,9.589074368143644,11.336785877934737,0.0,0.0,0,0,0,19.81362818680168,50.860674723676546,417.8594004311449,-0.6558581845389071,49.1580273571889,-4.929316185611501,-7.570911555517478,-13.717779586028694,-39.867286310624195,-27.366565128261346,-32.243044171084904,0.0,0.432432432432432,50,4,11,0,0,0,2,2,4,9,4,13,23,0,0,0,4,5.905200000000008,196.89689999999945,0,1,0,0,0,2,0,0,0,0,3,3,0,0,0,3,3,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
Tetracycline_rdkit,1.7267000000000001,-9.9081,-8.1814,7.2394,1.3554,3.1379,0,593.3639,-24.7007,-14.8411,-9.0448,283.3346,0.6618,5.8841,0.1699,4.2974,1.5693000000000001,0.8842000000000001,10.7226,7.1591000000000005,55.7953,-97.79,34860.0477,817723.4238,443.5437,480.8577,-4.2974,2.7154,11.3102,0.7303000000000001,-5.7684,0.9803000000000001,0.214,8.8088,1.4607,-8.5948,4.6435,0.0228,1.1398,1.6715,-13.604,3.0663,0.6782,0.7986000000000001,2,0,14.712938712522037,14.712938712522037,1.047268862351471,-5.13072479686319,0.33611046163052405,54.28125,444.43999999999977,420.2480000000002,444.1532657280006,170,0,0.29312943314989204,-0.50965062004994,0.50965062004994,0.29312943314989204,1.375,2.25,2.875,3.055135002692496,2.6279647394179193,1966.1819260792395,43.69578794377713,39.160413514710825,15.160413514710822,25.228922122119716,19.7130889961746,8.27742035285537,6.74716272063888,6.74716272063888,5.060961191353068,5.060961191353068,3.640294084188306,3.640294084188306,-3.210000000000001,151711060082.93582,7.143417536590318,6.644026762190543,2.47848404404513,216.69799341235432,31.263757931262333,22.840946106665523,14.20797991400503,8.645644260830208,10.200778701049408,0.0,19.28352128306594,0.0,0.0,0.0,12.08483741532659,38.78234101854984,35.18088113100829,22.66542899571121,66.0542321193017,17.473669622081385,7.155998286163171,4.899909730850478,17.507632346452432,30.44481110894208,13.951653800564491,51.918697909834755,0,5.749511833283905,5.719716975726273,0.0,5.749511833283905,0.0,77.78181636006367,15.190125179127332,11.787915370726157,52.44915264098466,40.791794926440765,2.823684156656401,2.862399314465268,0,181.61999999999998,141.94588635200952,21.237404333066564,0.0,0.0,0.0,0.0,0,0,0,25.54404095553606,26.428785116862212,201.32324393024388,0.0,41.58102907535467,21.932205697157443,-18.09164935223363,-23.382035304754233,-9.423400158647521,-5.107540627362057,-13.415186593091992,0.0,0.409090909090909,32,7,10,3,0,3,1,0,1,9,6,10,10,0,0,0,4,-0.214399999999999,109.54090000000005,0,4,2,0,0,0,0,1,0,0,3,3,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ribavirin_rdkit,3.5894,-10.9897,-7.4004,8.4915,-0.48750000000000004,5.1967,0,403.1941,-23.9266,-10.9136,-9.1951,139.3487,0.10650000000000001,8.979,0.1114,4.002,0.892,1.1508,12.8607,3.2105,91.3172,-55.2908,8911.6528,198303.1866,270.8028,263.2069,-4.002,0.6884,8.6923,0.44570000000000004,-6.2467,0.6957,1.3796,9.3835,0.8914000000000001,-8.0039,4.0337,0.0056,1.7591999999999999,1.1521,-15.122,1.4308,0.6782,0.2016,2,0,11.65510995988539,11.65510995988539,0.07946523053665801,-3.728677012471657,0.44284203167437103,60.705882352941174,244.2070000000001,232.111,244.080769484,94,0,0.28787817979295705,-0.393566843100328,0.393566843100328,0.28787817979295705,1.8823529411764701,2.764705882352941,3.470588235294117,3.117435134150075,2.7957268182195323,811.2535629008161,22.62939203306742,19.83009583431915,7.830095834319148,13.120156669734783,9.63555772028297,4.016385657891464,2.749015305244651,2.749015305244651,1.727136372191195,1.727136372191195,1.011793315086669,1.011793315086669,-1.55,1208539.195891094,3.985654387032409,4.372750406697864,2.001770596633754,112.67553541427829,25.78300450284796,25.914184350986414,9.027636966592956,10.118003469697829,5.9071797293515065,0.0,4.794537184071822,9.665781456092393,0.0,5.098681808301038,0.0,0.0,0.0,14.783536579937607,37.27681876104145,5.9071797293515065,4.293598971697903,14.76446326439343,5.719716975726273,24.44400689078652,6.558985242916289,12.127776211966154,0,0.0,5.719716975726273,0.0,0.0,0.0,65.09070586253073,4.736862953800049,0.0,26.41820438519984,6.303371713966227,2.823684156656401,0.0,0,143.72,54.75766505074674,4.794537184071822,0.0,4.6818029351451855,0.0,0.0,0,0,0,25.409084902569884,21.44945597534589,94.95356432852195,0.0,14.895273807831977,14.952492819263199,-0.48292122289687206,-2.537762804967665,0.0,-15.867956113000758,-3.662690814751827,0.0,0.625,17,5,9,0,1,1,0,1,1,8,4,9,6,0,1,1,2,-3.011499999999999,51.54930000000002,0,3,0,0,0,3,0,0,0,0,1,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Omeprazole_rdkit,3.1287,-10.1636,-7.0349,7.3557,0.09820000000000001,3.8019,0,505.5592,-14.4298,-2.8743,-8.5992,239.8503,0.2482,7.2574,0.1378,3.7269,0.9572,1.1817,11.1078,5.7059999999999995,77.4746,-70.319,23683.494,592184.7366,384.8395,402.1815,-3.7269,1.0092,8.4631,0.5136000000000001,-5.5413,0.7636000000000001,0.859,8.3129,1.0273,-7.4539,4.6799,0.0123,1.3787,1.1582,-11.9609,-0.2727,0.6782,2.7449,2,0,13.641692019400349,13.641692019400349,0.077454569790879,-3.6051313303099,0.769239036567064,26.583333333333332,345.42399999999975,326.2720000000001,345.11471246800045,126,0,0.197303118021662,-0.49668356234297606,0.49668356234297606,0.197303118021662,1.416666666666666,2.333333333333333,3.125,3.127249513649506,2.398553212063243,1620.2348890879036,33.41133089340096,30.474633948355326,12.291130529283054,19.108732010820066,15.430265920058089,7.13288223881919,4.133771422179344,5.240501417646651,2.695317925468695,3.588282067121582,1.645567898100647,2.408566537153889,-2.41,374722810.5720307,5.046032640242357,6.604258967706701,2.98924702671277,168.99716961020292,14.45072917782935,11.49902366656781,6.568278560148908,0.0,0.0,0.0,9.192877013111676,4.983978520947208,0.0,0.0,0.0,25.78862164991795,34.308285351233806,61.01534583760285,39.768120489156736,21.83297047813683,0.0,14.94496031212367,0.0,24.565177601562226,14.075904917765177,41.1209823120471,0,11.49902366656781,9.473725907600098,0.0,11.49902366656781,0.0,33.22976372205331,16.504525928054466,13.703784234591359,41.49448498930643,29.45658781562535,1.4118420783282,11.033401435232523,0,77.1,113.09405897607911,4.208898492164469,0.0,4.977003270229252,0.0,0.0,0,0,0,19.441682949494513,26.085496089392155,171.1514402630824,0.0,7.21303843769933,-1.115329821743512,-9.173392456474684,-2.393240800831404,-2.844384027730264,-1.33824603870433,-6.970879661795847,-10.05678367127951,0.29411764705882304,24,1,6,0,0,0,1,2,3,5,1,7,9,0,0,0,3,2.89974,93.02110000000003,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Boscalid_rdkit,2.6661,-10.521,-7.855,7.5888,0.8321000000000001,1.3293,0,518.1485,-10.109,-1.5093,-9.188,235.3184,0.3284,6.7567,0.148,4.2105,1.3119,0.9707,11.2506,6.6886,70.6517,-63.687,21716.9338,593210.1202,368.4853,370.2905,-4.2105,1.8816000000000002,10.3025,0.6232,-5.8997,0.8732000000000001,0.4798,8.9007,1.2463,-8.4209,4.7591,0.0154,1.305,1.4765000000000001,-7.0889,-2.1891,0.6782,1.827,2,0,13.15925222558159,13.15925222558159,0.05763463718820801,-1.44768588505361,0.655191526719444,17.652173913043477,343.21299999999974,331.11699999999996,342.03266836400036,114,0,0.25830721576055404,-0.321316428649828,0.321316428649828,0.25830721576055404,1.043478260869565,1.782608695652173,2.565217391304347,2.8102850124974132,2.4422083800086423,1403.30001672705,26.67676189578944,23.058604427482233,12.570462319519143,16.143417285438783,11.923729404741032,6.73244475525953,3.968961737888192,4.704939298347736,2.5431676610032,3.005647559485279,1.567010102950507,1.831838043292342,-2.359999999999999,25203535.2832808,6.634938369717691,6.816482904227554,3.524659784567599,160.3658009986353,5.3098133532883764,5.153109816892792,1.4118420783282,0.0,5.9071797293515065,0.0,4.794537184071822,4.983978520947208,0.0,0.0,53.41397331878151,35.77554503001347,22.446366290936645,20.641795609569414,21.28472338027244,34.7964457845001,0.0,4.983978520947208,0.0,0.0,5.3098133532883764,82.33627690977882,0,11.126902983393991,5.3098133532883764,5.687386274683562,0.0,23.20187978046503,10.891158250298714,0.0,0.0,25.436332793641235,66.5970822874477,11.587585208962318,11.126902983393991,0,41.99,105.05774589720788,4.794537184071822,0.0,5.3098133532883764,0.0,0.0,0,0,0,4.983978520947208,39.69206597666567,96.47643320525128,11.713875204194627,16.622268142845343,-1.297000965448282,-3.000877949945409,-1.44768588505361,-8.136649407101546,-0.7081401225201861,0.0,0.0,0.0,23,1,3,0,0,0,2,1,3,2,1,5,3,0,0,0,3,5.307700000000002,94.08820000000001,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ciprofloxacin_rdkit,2.3672,-9.774000000000001,-7.4067,7.0724,0.2484,8.9438,0,520.7436,-27.3439,-7.5879,-8.5904,215.8849,0.3554,6.824,0.1466,3.6604,0.9817,1.1849,11.0364,5.3975,65.9942,-71.3081,20027.4868,469161.8269,374.2357,377.9757,-3.6604,1.1195,8.4403,0.5364,-5.3664,0.7864,0.7333000000000001,8.0541,1.0728,-7.3208,4.5565999999999995,0.0143,1.2026,1.1478,-21.7338,1.2997,0.6782,3.2969,2,0,15.976568405139833,15.976568405139833,0.10271164021164,-3.9524481267356473,0.893229876350721,43.625,331.3469999999997,313.20300000000003,331.13321965600045,126,0,0.34072307867938,-0.47749702283390105,0.47749702283390105,0.34072307867938,1.5,2.25,2.916666666666666,3.178748970408878,2.320267595594568,1582.327642768043,32.71266028065169,29.44435013090069,11.444350130900691,18.683515962285192,15.195670940164062,6.34020905420024,4.568025040051622,4.568025040051622,3.141146405139941,3.141146405139941,2.050725022656962,2.050725022656962,-2.41,377724255.5057874,5.046032640242357,5.592172599010578,2.447861681064606,162.47726682929573,19.88563092303742,12.79251441107109,0.0,5.428790391900541,1.431199657232634,5.969305287951849,4.794537184071822,9.184952231746642,0.0,0.0,0.0,24.83068721798535,54.53051908025476,22.17015544166158,37.637739399905584,22.55961649471647,1.431199657232634,9.87691300107973,0.0,18.763742271008404,30.887348468114254,39.8617325348566,0,0.0,15.638513476039396,10.077801322358383,0.0,0.0,41.632651864114194,0.0,5.817220841045895,51.05386784550078,23.052269810213172,1.4118420783282,12.33412458931369,0,74.57,112.5877159379123,9.589074368143644,4.39041504767482,4.5670996477913555,0.0,0.0,0,0,0,5.108808191107212,24.77517863428435,161.302671810487,0.0,24.921012380673034,1.583146078137718,-6.416112473034822,-4.097440866179142,-6.725535714285714,-8.111813429292237,-15.539261119839226,0.0,0.41176470588235203,24,2,6,1,1,2,1,1,2,6,2,7,3,1,1,2,4,1.5833,88.47900000000004,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Quinine_rdkit,2.4761,-9.7621,-7.286,7.0465,0.0548,4.9682,0,530.963,-8.7216,-3.0765,-8.5241,239.263,0.307,6.9918,0.14300000000000002,3.5507,0.9016000000000001,1.2452,10.8024,5.5488,65.3365,-69.0442,24097.6928,561753.8904,394.2119,412.519,-3.5507,0.9298000000000001,8.0311,0.5079,-5.2986,0.7579,0.8468,7.9481,1.0157,-7.1013,4.6249,0.0135,1.2922,1.0883,-4.7788,-1.5445,0.6782,2.2738,2,0,9.41312712585034,9.41312712585034,0.7553975340136041,-4.449563991045099,0.877601618478394,63.916666666666664,324.4239999999996,300.232,324.1837780080007,126,0,0.21102301563596101,-0.49674293960785804,0.49674293960785804,0.21102301563596101,1.791666666666666,2.791666666666666,3.666666666666666,2.942945380861067,2.333505302166256,1755.594917430569,37.54952357383516,35.71092377192764,11.710923771927643,21.28446959358909,18.388654714909553,6.48040642444569,4.615147750704714,4.615147750704714,3.270894789364538,3.270894789364538,2.18776379971959,2.18776379971959,-1.909999999999999,3768152280.4334393,4.077207469279656,6.187607918654215,2.502406333999389,176.11938846535955,9.84567114490726,5.749511833283905,0.0,1.431199657232634,0.0,0.0,9.883888251797686,0.0,0.0,6.531038962001867,6.052071746035566,60.76375118005104,39.15221569581758,35.08377387749148,41.37311793682233,10.902924932081056,1.431199657232634,9.883888251797686,11.787915370726157,24.843760297958394,20.03167182751448,48.48913224120237,0,5.749511833283905,4.736862953800049,0.0,5.749511833283905,0.0,42.473460396001656,0.0,11.787915370726157,55.91676611322085,42.925680749505375,0.0,10.902924932081056,0,45.59,126.70482623361681,2.74151711234044,0.0,0.0,0.0,0.0,0,0,0,14.82964966585447,30.21712933680725,206.61099735469062,0.0,2.837886797721078,3.317665409528007,-2.503357499399617,-9.778431382513727,-11.256080456216347,-14.108871377898932,-10.127330398236305,-3.409145114341481,0.45,24,1,4,0,3,3,1,1,2,4,1,4,6,0,3,3,5,3.1732000000000022,95.02680000000004,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cladribine_rdkit,3.2473,-10.5087,-7.2614,7.904,-0.2111,3.9807,0,434.8623,-22.0646,-8.588,-8.8851,169.3639,0.1569,8.1151,0.1232,3.8464,0.9117000000000001,1.1756,12.0023,4.2056000000000004,80.9974,-58.9674,12613.7916,308151.3187,300.3556,297.9165,-3.8464,0.8146,8.5074,0.47400000000000003,-5.8752,0.724,1.1228,8.8156,0.9480000000000001,-7.6928,4.2576,0.008,1.5544,1.1412,-12.0398,-2.115,0.6782,0.6004,2,0,8.58994992441421,8.58994992441421,0.045155019193168,-3.6584130527210883,0.648166823745113,51.0,285.6909999999998,273.595,285.0628669240003,102,0,0.225952826973795,-0.393568836028574,0.393568836028574,0.225952826973795,1.894736842105263,2.842105263157894,3.6315789473684212,3.059399299159941,2.403567033816425,1042.0989614766281,23.78409257144667,20.838777321900608,9.594706267919062,14.042659745549352,10.452470566859773,5.119511267941358,3.328196637549855,3.666258339441262,2.214749781333771,2.383780632279475,1.441690425946272,1.6017987460209682,-1.48,3451519.4479339723,4.8126222010358415,4.566261411123596,2.020359183400714,129.50429236067333,20.674196311740747,19.171430110673025,14.288724155259157,8.145985634509527,0.0,0.0,4.5670996477913555,4.983978520947208,9.967957041894417,0.0,0.0,11.600939890232516,9.11444201366982,25.796167764683602,28.744231942032627,28.582680606451532,2.862399314465268,19.519035210632982,0.0,24.73691376516591,12.278702218642561,11.586958034010486,0,0.0,5.719716975726273,5.817862777835028,0.0,11.600939890232516,51.31807220412894,4.736862953800049,0.0,23.54294616062769,6.303371713966227,8.10727047670066,11.16387793838399,0,119.31000000000002,59.86459775831169,0.0,0.0,10.286816623517627,0.0,0.0,0,0,0,25.16955194505605,32.98995476451599,98.95834097187661,5.759445815188809,10.944658479897928,7.203314049246964,-1.154100886120185,-0.5692180151381541,0.0,-15.338344513731421,-3.609651456776126,0.0,0.5,19,4,8,0,1,1,0,2,2,8,3,9,5,0,1,1,3,-0.2974,66.36500000000001,0,2,0,1,0,4,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
