substrate_id,yield,tfa_equivalents,reagent_nbs,reagent_nis,reagent_palauchlor,Electrophilic descrip._aqme,Trans. dipole moment_aqme,MinEStateIndex_aqme,FpDensityMorgan2_aqme,FpDensityMorgan3_aqme,Kappa3_aqme,SlogP_VSA3_aqme,VSA_EState6_aqme,NumAromaticCarbocycles_aqme,Radical attack_indxcarbon_aqme,SASA_indxcarbon_aqme,FOD_indxcarbon_aqme,fukui0_indxcarbon_aqme,softness-_indxcarbon_aqme,Born radii_indxcarbon_aqme,FOD p proportion_indxcarbon_aqme,Buried volume_min_aqme,Coord. numbers_min_aqme,softness-_min_aqme,Nu_Electrophil._min_aqme,Coord. numbers_max_aqme,Polariz. alpha_max_aqme,fukui+_max_aqme,softness+_max_aqme,Mult. descrip._max_aqme,FOD s proportion_max_aqme
Bifonazole,95.0,10.0,0.0,0.0,1.0,1.4563,5.3475,-3.1884702800873432,1.333333333333333,1.958333333333333,2.863937426311997,0.0,-16.320311859499242,3.0,0.0331,16.5289,0.0093,0.035,0.0045,2.472,0.0091,0.3087,0.923,-0.0009,-0.0049,3.8009,8.8109,0.0508,0.0069,0.0178,0.006
Bifonazole,87.69230769,15.0,0.0,0.0,1.0,1.4563,5.3475,-3.1884702800873432,1.333333333333333,1.958333333333333,2.863937426311997,0.0,-16.320311859499242,3.0,0.0331,16.5289,0.0093,0.035,0.0045,2.472,0.0091,0.3087,0.923,-0.0009,-0.0049,3.8009,8.8109,0.0508,0.0069,0.0178,0.006
Bifonazole,82.82051282,25.0,0.0,0.0,1.0,1.4563,5.3475,-3.1884702800873432,1.333333333333333,1.958333333333333,2.863937426311997,0.0,-16.320311859499242,3.0,0.0331,16.5289,0.0093,0.035,0.0045,2.472,0.0091,0.3087,0.923,-0.0009,-0.0049,3.8009,8.8109,0.0508,0.0069,0.0178,0.006
Bifonazole,3.250507797,0.0,0.0,1.0,0.0,1.4563,5.3475,-3.1884702800873432,1.333333333333333,1.958333333333333,2.863937426311997,0.0,-16.320311859499242,3.0,0.0331,16.5289,0.0093,0.035,0.0045,2.472,0.0091,0.3087,0.923,-0.0009,-0.0049,3.8009,8.8109,0.0508,0.0069,0.0178,0.006
Bifonazole,1.266877438,1.0,0.0,1.0,0.0,1.4563,5.3475,-3.1884702800873432,1.333333333333333,1.958333333333333,2.863937426311997,0.0,-16.320311859499242,3.0,0.0331,16.5289,0.0093,0.035,0.0045,2.472,0.0091,0.3087,0.923,-0.0009,-0.0049,3.8009,8.8109,0.0508,0.0069,0.0178,0.006
Bifonazole,91.83109585,2.0,0.0,1.0,0.0,1.4563,5.3475,-3.1884702800873432,1.333333333333333,1.958333333333333,2.863937426311997,0.0,-16.320311859499242,3.0,0.0331,16.5289,0.0093,0.035,0.0045,2.472,0.0091,0.3087,0.923,-0.0009,-0.0049,3.8009,8.8109,0.0508,0.0069,0.0178,0.006
Bifonazole,95.15186066,4.0,0.0,1.0,0.0,1.4563,5.3475,-3.1884702800873432,1.333333333333333,1.958333333333333,2.863937426311997,0.0,-16.320311859499242,3.0,0.0331,16.5289,0.0093,0.035,0.0045,2.472,0.0091,0.3087,0.923,-0.0009,-0.0049,3.8009,8.8109,0.0508,0.0069,0.0178,0.006
Bifonazole,92.65361315,6.0,0.0,1.0,0.0,1.4563,5.3475,-3.1884702800873432,1.333333333333333,1.958333333333333,2.863937426311997,0.0,-16.320311859499242,3.0,0.0331,16.5289,0.0093,0.035,0.0045,2.472,0.0091,0.3087,0.923,-0.0009,-0.0049,3.8009,8.8109,0.0508,0.0069,0.0178,0.006
Bifonazole,96.36529766,10.0,0.0,1.0,0.0,1.4563,5.3475,-3.1884702800873432,1.333333333333333,1.958333333333333,2.863937426311997,0.0,-16.320311859499242,3.0,0.0331,16.5289,0.0093,0.035,0.0045,2.472,0.0091,0.3087,0.923,-0.0009,-0.0049,3.8009,8.8109,0.0508,0.0069,0.0178,0.006
Bifonazole,97.54930332,15.0,0.0,1.0,0.0,1.4563,5.3475,-3.1884702800873432,1.333333333333333,1.958333333333333,2.863937426311997,0.0,-16.320311859499242,3.0,0.0331,16.5289,0.0093,0.035,0.0045,2.472,0.0091,0.3087,0.923,-0.0009,-0.0049,3.8009,8.8109,0.0508,0.0069,0.0178,0.006
Bifonazole,95.34665304,25.0,0.0,1.0,0.0,1.4563,5.3475,-3.1884702800873432,1.333333333333333,1.958333333333333,2.863937426311997,0.0,-16.320311859499242,3.0,0.0331,16.5289,0.0093,0.035,0.0045,2.472,0.0091,0.3087,0.923,-0.0009,-0.0049,3.8009,8.8109,0.0508,0.0069,0.0178,0.006
Boscalid,64.42592593,0.0,1.0,0.0,0.0,1.305,1.827,-1.44768588505361,1.782608695652173,2.565217391304347,3.524659784567599,0.0,-8.136649407101546,2.0,0.0341,16.4907,0.0135,0.026,0.0044,2.49,0.013,0.2629,0.858,-0.0,0.0049,2.9831000000000003,15.656,0.082,0.0121,0.0459,0.004
Boscalid,76.22222222,1.0,1.0,0.0,0.0,1.305,1.827,-1.44768588505361,1.782608695652173,2.565217391304347,3.524659784567599,0.0,-8.136649407101546,2.0,0.0341,16.4907,0.0135,0.026,0.0044,2.49,0.013,0.2629,0.858,-0.0,0.0049,2.9831000000000003,15.656,0.082,0.0121,0.0459,0.004
Boscalid,98.0,5.0,1.0,0.0,0.0,1.305,1.827,-1.44768588505361,1.782608695652173,2.565217391304347,3.524659784567599,0.0,-8.136649407101546,2.0,0.0341,16.4907,0.0135,0.026,0.0044,2.49,0.013,0.2629,0.858,-0.0,0.0049,2.9831000000000003,15.656,0.082,0.0121,0.0459,0.004
Boscalid,5.196428571,0.0,0.0,0.0,1.0,1.305,1.827,-1.44768588505361,1.782608695652173,2.565217391304347,3.524659784567599,0.0,-8.136649407101546,2.0,0.0341,16.4907,0.0135,0.026,0.0044,2.49,0.013,0.2629,0.858,-0.0,0.0049,2.9831000000000003,15.656,0.082,0.0121,0.0459,0.004
Boscalid,89.20535714,1.0,0.0,0.0,1.0,1.305,1.827,-1.44768588505361,1.782608695652173,2.565217391304347,3.524659784567599,0.0,-8.136649407101546,2.0,0.0341,16.4907,0.0135,0.026,0.0044,2.49,0.013,0.2629,0.858,-0.0,0.0049,2.9831000000000003,15.656,0.082,0.0121,0.0459,0.004
Boscalid,91.80357143,2.0,0.0,0.0,1.0,1.305,1.827,-1.44768588505361,1.782608695652173,2.565217391304347,3.524659784567599,0.0,-8.136649407101546,2.0,0.0341,16.4907,0.0135,0.026,0.0044,2.49,0.013,0.2629,0.858,-0.0,0.0049,2.9831000000000003,15.656,0.082,0.0121,0.0459,0.004
Boscalid,92.66964286,4.0,0.0,0.0,1.0,1.305,1.827,-1.44768588505361,1.782608695652173,2.565217391304347,3.524659784567599,0.0,-8.136649407101546,2.0,0.0341,16.4907,0.0135,0.026,0.0044,2.49,0.013,0.2629,0.858,-0.0,0.0049,2.9831000000000003,15.656,0.082,0.0121,0.0459,0.004
Boscalid,97.0,6.0,0.0,0.0,1.0,1.305,1.827,-1.44768588505361,1.782608695652173,2.565217391304347,3.524659784567599,0.0,-8.136649407101546,2.0,0.0341,16.4907,0.0135,0.026,0.0044,2.49,0.013,0.2629,0.858,-0.0,0.0049,2.9831000000000003,15.656,0.082,0.0121,0.0459,0.004
Boscalid,94.40178571,10.0,0.0,0.0,1.0,1.305,1.827,-1.44768588505361,1.782608695652173,2.565217391304347,3.524659784567599,0.0,-8.136649407101546,2.0,0.0341,16.4907,0.0135,0.026,0.0044,2.49,0.013,0.2629,0.858,-0.0,0.0049,2.9831000000000003,15.656,0.082,0.0121,0.0459,0.004
Boscalid,94.40178571,15.0,0.0,0.0,1.0,1.305,1.827,-1.44768588505361,1.782608695652173,2.565217391304347,3.524659784567599,0.0,-8.136649407101546,2.0,0.0341,16.4907,0.0135,0.026,0.0044,2.49,0.013,0.2629,0.858,-0.0,0.0049,2.9831000000000003,15.656,0.082,0.0121,0.0459,0.004
Boscalid,96.13392857,25.0,0.0,0.0,1.0,1.305,1.827,-1.44768588505361,1.782608695652173,2.565217391304347,3.524659784567599,0.0,-8.136649407101546,2.0,0.0341,16.4907,0.0135,0.026,0.0044,2.49,0.013,0.2629,0.858,-0.0,0.0049,2.9831000000000003,15.656,0.082,0.0121,0.0459,0.004
Boscalid,43.47826087,0.0,0.0,1.0,0.0,1.305,1.827,-1.44768588505361,1.782608695652173,2.565217391304347,3.524659784567599,0.0,-8.136649407101546,2.0,0.0341,16.4907,0.0135,0.026,0.0044,2.49,0.013,0.2629,0.858,-0.0,0.0049,2.9831000000000003,15.656,0.082,0.0121,0.0459,0.004
Boscalid,76.52173913,1.0,0.0,1.0,0.0,1.305,1.827,-1.44768588505361,1.782608695652173,2.565217391304347,3.524659784567599,0.0,-8.136649407101546,2.0,0.0341,16.4907,0.0135,0.026,0.0044,2.49,0.013,0.2629,0.858,-0.0,0.0049,2.9831000000000003,15.656,0.082,0.0121,0.0459,0.004
Boscalid,100.0,5.0,0.0,1.0,0.0,1.305,1.827,-1.44768588505361,1.782608695652173,2.565217391304347,3.524659784567599,0.0,-8.136649407101546,2.0,0.0341,16.4907,0.0135,0.026,0.0044,2.49,0.013,0.2629,0.858,-0.0,0.0049,2.9831000000000003,15.656,0.082,0.0121,0.0459,0.004
Caffeine,0.0,0.0,1.0,0.0,0.0,1.6104,4.431,-3.359733560090705,2.1428571428571432,2.785714285714285,0.875774162713943,20.927480700846736,0.0,0.0,0.0345,20.8605,0.0133,0.039,0.0028,2.523,0.013,0.3094,0.858,-0.0034,-0.0361,3.709,8.792,0.146,0.0166,0.053,0.002
Caffeine,0.0,1.0,1.0,0.0,0.0,1.6104,4.431,-3.359733560090705,2.1428571428571432,2.785714285714285,0.875774162713943,20.927480700846736,0.0,0.0,0.0345,20.8605,0.0133,0.039,0.0028,2.523,0.013,0.3094,0.858,-0.0034,-0.0361,3.709,8.792,0.146,0.0166,0.053,0.002
Caffeine,0.0,2.0,1.0,0.0,0.0,1.6104,4.431,-3.359733560090705,2.1428571428571432,2.785714285714285,0.875774162713943,20.927480700846736,0.0,0.0,0.0345,20.8605,0.0133,0.039,0.0028,2.523,0.013,0.3094,0.858,-0.0034,-0.0361,3.709,8.792,0.146,0.0166,0.053,0.002
Caffeine,0.0,4.0,1.0,0.0,0.0,1.6104,4.431,-3.359733560090705,2.1428571428571432,2.785714285714285,0.875774162713943,20.927480700846736,0.0,0.0,0.0345,20.8605,0.0133,0.039,0.0028,2.523,0.013,0.3094,0.858,-0.0034,-0.0361,3.709,8.792,0.146,0.0166,0.053,0.002
Caffeine,0.0,6.0,1.0,0.0,0.0,1.6104,4.431,-3.359733560090705,2.1428571428571432,2.785714285714285,0.875774162713943,20.927480700846736,0.0,0.0,0.0345,20.8605,0.0133,0.039,0.0028,2.523,0.013,0.3094,0.858,-0.0034,-0.0361,3.709,8.792,0.146,0.0166,0.053,0.002
Caffeine,0.0,10.0,1.0,0.0,0.0,1.6104,4.431,-3.359733560090705,2.1428571428571432,2.785714285714285,0.875774162713943,20.927480700846736,0.0,0.0,0.0345,20.8605,0.0133,0.039,0.0028,2.523,0.013,0.3094,0.858,-0.0034,-0.0361,3.709,8.792,0.146,0.0166,0.053,0.002
Caffeine,0.0,15.0,1.0,0.0,0.0,1.6104,4.431,-3.359733560090705,2.1428571428571432,2.785714285714285,0.875774162713943,20.927480700846736,0.0,0.0,0.0345,20.8605,0.0133,0.039,0.0028,2.523,0.013,0.3094,0.858,-0.0034,-0.0361,3.709,8.792,0.146,0.0166,0.053,0.002
Caffeine,0.0,25.0,1.0,0.0,0.0,1.6104,4.431,-3.359733560090705,2.1428571428571432,2.785714285714285,0.875774162713943,20.927480700846736,0.0,0.0,0.0345,20.8605,0.0133,0.039,0.0028,2.523,0.013,0.3094,0.858,-0.0034,-0.0361,3.709,8.792,0.146,0.0166,0.053,0.002
